,gene_id,clade
0,AT5G45260.1,0
1,RRS1,0
2,BraA09g021140.3C,0
3,AT4G36140.1,1
4,BraA08g021000.3C,1
5,BraA01g002480.3C,1
6,Potri.004G088500.2,2
7,Potri.T050100.1,2
8,Potri.T048266.1,2
9,Potri.005G031900.1,2
10,Potri.T047500.2,2
11,Potri.T047900.1,2
12,Potri.T049000.1,2
13,Potri.T047600.1,2
14,Potri.005G031600.1,2
15,Potri.T050200.2,2
16,Potri.005G031200.2,2
17,Potri.T049700.1,2
18,Potri.T049400.1,2
19,Potri.T047700.2,2
20,Potri.005G030700.2,2
21,orange1.1t02179.1,3
22,orange1.1t02179.2,3
23,orange1.1t02171.1,3
24,orange1.1t02159.1,3
25,orange1.1t05139.1,3
26,orange1.1t03701.1,3
27,Cs5g22460.1,3
28,Cs5g17870.1,3
29,orange1.1t02132.3,3
30,orange1.1t02132.2,3
31,orange1.1t02132.5,3
32,orange1.1t02132.4,3
33,orange1.1t02132.6,3
34,orange1.1t02140.1,3
35,Cs5g11840.1,3
36,Cs1g18940.1,3
37,Cs5g22380.1,3
38,orange1.1t03523.1,3
39,orange1.1t03509.1,3
40,Cs5g22370.1,3
41,orange1.1t03510.1,3
42,orange1.1t03524.1,3
43,orange1.1t03524.2,3
44,Cs2g11020.1,3
45,Cs2g11000.1,3
46,Cs5g22420.1,3
47,orange1.1t03516.1,3
48,Cs5g22400.1,3
49,Cs5g22440.1,3
50,orange1.1t02189.1,3
51,orange1.1t03694.1,3
52,Cs5g24260.1,3
53,Cs1g18970.1,3
54,Cs1g19000.1,3
55,evm.model.supercontig_245.4,3
56,evm.model.supercontig_2.256,3
57,evm.model.supercontig_2.255,3
58,evm.model.supercontig_2.253,3
59,evm.model.supercontig_234.9,3
60,evm.model.supercontig_245.2,3
61,evm.model.supercontig_234.8,3
62,Potri.019G068200.1,4
63,Potri.017G011800.2,4
64,Potri.017G010800.1,4
65,Potri.019G098500.1,4
66,Potri.019G097100.3,4
67,Potri.019G114301.1,4
68,Potri.019G098800.1,4
69,Potri.019G113500.1,4
70,Potri.019G097300.1,4
71,Potri.019G112700.1,4
72,Potri.019G098900.1,4
73,Potri.019G114800.2,4
74,Potri.019G113701.1,4
75,Potri.019G097800.1,4
76,Potri.019G112600.1,4
77,Potri.019G095932.1,4
78,Potri.019G114600.4,4
79,Potri.019G097580.1,4
80,Manes.10G103100.2,4
81,Manes.18G115300.1,4
82,Manes.18G115500.4,4
83,Manes.18G114900.3,4
84,Potri.019G069500.1,4
85,Potri.019G070700.2,4
86,Potri.T077000.3,4
87,Potri.019G070640.1,4
88,Potri.019G070300.2,4
89,Potri.T077400.2,4
90,Potri.T077100.1,4
91,Potri.019G069600.2,4
92,Potri.T077600.3,4
93,Potri.019G070460.1,4
94,Manes.18G111500.2,4
95,Manes.18G107900.4,4
96,Vitvi18g03383.t01,5
97,Vitvi18g02168.t01,5
98,Vitvi18g02209.t01,5
99,Vitvi18g03182.t01,5
100,Vitvi18g03377.t01,5
101,Vitvi18g02173.t01,5
102,Vitvi18g02164.t01,5
103,Vitvi18g02165.t01,5
104,Vitvi18g03382.t01,5
105,Vitvi18g02159.t01,5
106,Vitvi18g02221.t01,5
107,Vitvi18g03373.t01,5
108,Vitvi18g03380.t01,5
109,Vitvi18g03379.t01,5
110,Vitvi18g03196.t01,5
111,Vitvi18g02222.t01,5
112,Vitvi18g02077.t01,5
113,Vitvi18g03133.t01,5
114,Vitvi18g02205.t01,5
115,Vitvi18g02223.t01,5
116,Vitvi18g03166.t01,6
117,Vitvi12g01824.t01,6
118,Vitvi12g02639.t01,6
119,Vitvi12g02641.t01,6
120,Vitvi15g00301.t01,6
121,Vitvi18g01962.t01,6
122,Vitvi18g01958.t01,6
123,Vitvi18g01950.t01,6
124,BraA06g018260.3C,6
125,BraA07g042480.3C,6
126,BraA07g042230.3C,6
127,AT5G17680.1,6
128,BraA10g022370.3C,6
129,BraA02g007180.3C,6
130,BraA02g039700.3C,6
131,AT4G16900.1,6
132,AT4G16940.1,6
133,AT4G16960.1,6
134,SIKIC1,6
135,SIKIC3,6
136,AT4G16920.1,6
137,RPP4,6
138,AT4G16860.1,6
139,SNC1,6
140,AT4G16890.1,6
141,AT4G16950.1,6
142,SIKIC2,6
143,BraA03g047240.3C,6
144,BraA03g047230.3C,6
145,AT4G16990.2,6
146,AT5G51630.1,6
147,BraA04g012300.3C,6
148,BraA10g028610.3C,6
149,BraA02g032890.3C,6
150,BraA02g032920.3C,6
151,BraA02g032880.3C,6
152,BraA09g022180.3C,6
153,BraA07g032430.3C,6
154,AT5G46450.1,6
155,BraA09g022120.3C,6
156,AT5G46470.1,6
157,AT5G40060.1,6
158,BraA09g022160.3C,6
159,BraA02g033300.3C,6
160,BraA03g032420.3C,6
161,BraA02g032840.3C,6
162,AT1G31540.2,6
163,AT5G46490.2,6
164,AT5G46270.1,6
165,AT5G46260.1,6
166,AT5G46510.1,6
167,AT5G46520.1,6
168,AT4G08450.1,6
169,AT5G22690.1,6
170,BraA01g040630.3C,6
171,BraA09g014920.3C,6
172,AT5G38850.1,6
173,AT1G63740.1,6
174,BraA04g022970.3C,6
175,AT1G63730.1,6
176,AT5G58120.1,6
177,BraA09g013380.3C,6
178,BraA09g015080.3C,6
179,BraA09g015030.3C,6
180,AT4G14370.1,6
181,AT2G16870.1,6
182,AT1G64070.1,6
183,AT1G63750.3,6
184,BraA09g014880.3C,6
185,BraA09g014840.3C,6
186,BraA09g014910.3C,6
187,AT1G63880.1,6
188,AT1G63860.1,6
189,AT1G63870.1,6
190,BraA09g014870.3C,6
191,BraA09g014900.3C,6
192,BraA04g018500.3C,6
193,AT1G66090.1,6
194,AT1G56540.1,6
195,AT1G56520.2,6
196,AT1G56510.1,6
197,WRR4,6
198,AT5G41740.2,6
199,AT5G41750.1,6
200,BraA07g020570.3C,6
201,BraA02g031160.3C,6
202,AT5G40910.1,6
203,BraA04g014400.3C,6
204,AT5G41550.1,6
205,AT5G41540.1,6
206,BraA04g014020.3C,6
207,BraA07g020580.3C,6
208,BraA09g016870.3C,6
209,AT4G11170.1,6
210,AT5G49140.1,6
211,BraA02g007360.3C,6
212,BraA03g008920.3C,6
213,BraA02g007320.3C,6
214,BraA01g043440.3C,6
215,BraA02g007330.3C,6
216,BraA10g022150.3C,6
217,AT5G17970.1,6
218,BraA03g016790.3C,6
219,AT5G18360.1,6
220,BraA01g021410.3C,6
221,BraA05g042400.3C,6
222,BraA05g042420.3C,6
223,AT1G69550.1,6
224,AT5G11250.1,6
225,BraA09g020020.3C,6
226,BraA03g005190.3C,6
227,BraA03g004610.3C,6
228,BraA03g004600.3C,6
229,BraA03g009600.3C,6
230,BraA02g037590.3C,6
231,AT3G04220.1,6
232,BraA03g049860.3C,6
233,BraA08g014830.3C,6
234,BraA03g060530.3C,6
235,BraA08g021430.3C,6
236,BraA08g022240.3C,6
237,BraA08g021420.3C,6
238,BraA08g021400.3C,6
239,BraA08g021410.3C,6
